Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11573601308,"Jun 4, 2024, 6:13:47 AM",Morning Ride,Ride,,611,3.52,,,false,,,activities/12352754226.fit.gz,,,611.0,543.0,3519.4,8.3,6.481,7.0,9.0,104.2,113.4,9.3,-0.1,,,,,,,,,127.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.76,72.9,,,,,,,,,,,,,,,,,""
11573601446,"Jun 4, 2024, 4:39:40 PM",Evening Run,Run,,5381,9.83,,,false,,,activities/12352754193.fit.gz,,,5381.0,2950.0,9833.3,7.436,3.333,1.0,0.0,104.6,106.2,27.4,0.0,,,98.0,81.0,,,,396.0,736.0,,,,1101956.0,,,,,,,,383.0,3657.0,,,0.0,,1.0,9837.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.827,0.0,,,,7414.0,,,,,3.335,,,,,,,,""
11581250131,"Jun 5, 2024, 3:54:37 PM",Hármashatár-hegy kör,Run,"",3369,8.99,,,false,,,activities/12360605296.fit.gz,,,3369.0,3366.0,8998.3,4.378,2.673,201.0,198.0,286.2,387.0,26.0,0.0,,,87.0,79.0,,,,317.0,769.0,,,,1060359.0,,,,,,,,324.0,3370.0,0.0,,0.0,,1.0,9635.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.671,7896.7,,,,8742.0,,,556.0,244.0,2.863,,,,,,,,""
11589991514,"Jun 6, 2024, 4:46:16 PM",Warm up,Run,"",1690,5.25,173.0,58,false,,,activities/12369573763.fit.gz,,,1690.0,1690.0,5253.9,4.07,3.109,7.0,1.0,97.4,106.2,32.3,0.1,,,85.0,81.0,173.0,161.0,,342.0,425.0,,,58.0,577885.0,,,,,,,,346.0,1691.0,0.0,,0.0,,1.0,5291.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.109,3504.7,,,,4564.0,,,317.0,260.0,3.131,,,,,,,,""
11589992069,"Jun 6, 2024, 5:17:52 PM",Dombfutások + 4k fokozó,Run,"",1780,4.60,187.0,78,false,,,activities/12369574228.fit.gz,,,1780.0,1281.0,4605.5,5.67,3.595,25.0,26.0,101.2,111.0,49.4,0.1,,,125.0,80.0,187.0,178.0,,418.0,358.0,,,78.0,534129.0,,,,,,,,402.0,1491.0,0.0,,0.0,,1.0,4632.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.587,0.0,,,,3416.0,,,378.0,302.0,3.617,,,,,,,,""
11603216458,"Jun 8, 2024, 12:12:20 PM",Napozós,Run,Warm up + 3k + 2k + 1k,2531,7.09,193.0,95,false,,,activities/12383152614.fit.gz,,,2531.0,1878.0,7098.9,5.652,3.78,1.0,0.0,97.6,100.8,8.2,0.0,,,95.0,82.0,193.0,172.0,,415.0,510.0,,,95.0,777463.0,,,,,7.0,,,387.0,2409.0,0.0,59.0,0.0,,1.0,7117.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.805,6315.0,,,,5074.0,,,566.0,291.0,3.79,,,,,,,,media/d90d70e5-2ed4-4486-9ee3-8f52a855c4cf.jpg
11629061645,"Jun 11, 2024, 4:49:01 PM",Evening Run,Run,5×800 + 3×400,4695,6.52,188.0,68,false,,,activities/12409793913.fit.gz,,,4695.0,1900.0,6528.7,7.464,3.436,8.0,0.0,106.2,116.8,0.0,0.0,,,98.0,82.0,188.0,164.0,,424.0,453.0,,,68.0,729690.0,,,,,,,,375.0,2840.0,0.0,,0.0,,1.0,6535.2,1718121600.0,1.0,22.6,22.5,13.4,0.56,1010.6,4.3,9.3,319.0,0.0,1718073984.0,1718131328.0,0.125,,,0.56,5.0,0.27,27033.6,1.0,,,,,0.0,1.391,0.0,,,,4616.0,,,627.0,282.0,3.44,,,,,,,,""
11645062261,"Jun 13, 2024, 4:57:36 PM",Evening Run,Run,Warm up + 4x800 m váltogatás,3544,6.44,189.0,71,false,,,activities/12426216062.fit.gz,,,3544.0,1966.0,6443.6,7.264,3.278,1.0,0.0,106.2,108.4,16.0,0.0,,,98.0,81.0,189.0,162.0,,382.0,493.0,,,71.0,745800.0,,,,,,,,353.0,2627.0,0.0,,0.0,,1.0,6452.2,1718294400.0,3.0,20.2,19.7,10.7,0.54,1013.5,3.7,8.2,309.0,0.0,1718246784.0,1718304128.0,0.125,,,0.5,5.0,0.83,28188.4,1.0,,,,,0.0,1.818,0.0,,,,5288.0,,,513.0,265.0,3.282,,,,,,,,""
11671186153,"Jun 17, 2024, 7:07:48 AM",Running to the beach,Run,"",3480,6.75,184.0,86,false,,,activities/12453191666.fit.gz,,,3480.0,2046.0,6749.2,4.966,3.299,91.0,90.0,4.2,54.0,33.2,0.0,,,112.0,79.0,184.0,165.0,,384.0,528.0,,,86.0,771713.0,,,,,,,,363.0,2516.0,0.0,,0.0,,1.0,6937.2,1718607616.0,1.0,23.4,23.7,15.6,0.62,1015.7,0.9,2.5,234.0,0.0,1718594048.0,1718650112.0,0.375,,,0.0,1.0,0.0,28099.2,3.0,,,,,0.0,1.939,766.9,,,,5314.0,,,520.0,273.0,3.391,,,,,,,,""
11679802749,"Jun 18, 2024, 10:04:50 AM",Lunch Run,Run,,2432,6.21,187.0,69,false,,,activities/12462058165.fit.gz,,,2432.0,1737.0,6213.9,5.53,3.577,1.0,5.0,4.8,9.2,17.5,0.0,,,125.0,81.0,187.0,164.0,,424.0,455.0,,,69.0,736111.0,,,,,,,,383.0,2433.0,,,0.0,,1.0,6243.9,1718704768.0,3.0,25.2,25.9,16.8,0.6,1018.9,2.2,3.9,282.0,0.0,1718680576.0,1718736512.0,0.375,,,0.0,1.0,0.72,28489.3,5.0,,,,,0.0,2.555,6213.9,,,,4672.0,,,560.0,288.0,3.595,,,,,,,,""
