Following Athlete ID,Follow Status,Favorite Status
6975784,Accepted,""
12552718,Accepted,""
18311759,Accepted,Muted Activities in Feed
26839764,Accepted,""
33336819,Accepted,""
40095418,Accepted,""
45545583,Accepted,""
49467751,Accepted,""
50688443,Accepted,""
53113088,Accepted,""
56674041,Accepted,""
63225302,Accepted,""
71284035,Accepted,""
77731694,Accepted,""
86070367,Accepted,""
88677489,Accepted,""
96149184,Accepted,""
97517305,Accepted,""
100339140,Accepted,""
102912291,Accepted,""
106532150,Accepted,""
118197210,Accepted,""
126160261,Accepted,""
135999638,Accepted,""
136479737,Accepted,""
137509402,Accepted,""
139312317,Accepted,""
142372609,Accepted,""
174746235,Accepted,""
106461733,Pending,""
159486167,Pending,""
