Reaction Date,Reaction Type,Parent Type,Parent ID
"Dec 10, 2023, 11:14:22 AM",Kudos,Activity,10353499642
"Dec 10, 2023, 11:14:36 AM",Kudos,Activity,10352766526
"Jan 28, 2024, 7:38:51 PM",Kudos,Activity,10641247416
"Jun 4, 2024, 7:13:13 PM",Kudos,Activity,11573642234
"Jun 4, 2024, 7:13:16 PM",Kudos,Activity,11573511677
"Jun 4, 2024, 7:13:21 PM",Kudos,Activity,11558375799
"Jun 4, 2024, 7:13:26 PM",Kudos,Activity,11503734711
"Jun 4, 2024, 7:13:32 PM",Kudos,Activity,11572638021
"Jun 5, 2024, 7:48:43 AM",Kudos,Activity,11574335904
"Jun 6, 2024, 6:11:37 PM",Kudos,Activity,11589919646
"Jun 6, 2024, 6:11:40 PM",Kudos,Activity,11586058160
"Jun 7, 2024, 5:56:36 AM",Kudos,Activity,11593202895
"Jun 7, 2024, 7:59:03 PM",Kudos,Activity,11593580444
"Jun 7, 2024, 7:59:08 PM",Kudos,Activity,11596489584
"Jun 8, 2024, 9:57:58 AM",Kudos,Activity,11601268172
"Jun 8, 2024, 9:58:13 AM",Kudos,Activity,11601116434
"Jun 8, 2024, 1:01:10 PM",Kudos,Activity,11601743228
"Jun 8, 2024, 1:01:23 PM",Kudos,Activity,11602523325
"Jun 8, 2024, 1:01:33 PM",Kudos,Activity,11602523031
"Jun 8, 2024, 1:01:36 PM",Kudos,Activity,11602523148
"Jun 9, 2024, 12:24:35 PM",Kudos,Activity,11611133166
"Jun 9, 2024, 12:24:57 PM",Kudos,Activity,11611229687
"Jun 9, 2024, 12:25:00 PM",Kudos,Activity,11610378211
"Jun 9, 2024, 12:25:06 PM",Kudos,Activity,11609147915
"Jun 11, 2024, 4:24:16 PM",Kudos,Activity,11627580573
"Jun 11, 2024, 7:47:57 PM",Kudos,Activity,11629159510
"Jun 13, 2024, 5:32:59 AM",Kudos,Activity,11637176607
"Jun 13, 2024, 6:15:44 PM",Kudos,Activity,11640780185
"Jun 14, 2024, 9:26:30 AM",Kudos,Activity,11648107783
"Jun 16, 2024, 3:51:14 AM",Kudos,Activity,11658953286
"Jun 16, 2024, 3:51:16 AM",Kudos,Activity,11655982087
"Jun 16, 2024, 3:51:19 AM",Kudos,Activity,11652121409
"Jun 17, 2024, 5:26:50 PM",Kudos,Activity,11674124873
"Jun 18, 2024, 7:47:14 AM",Kudos,Activity,11675733401
"Jun 18, 2024, 4:28:55 PM",Kudos,Activity,11680659040
"Jun 18, 2024, 4:28:59 PM",Kudos,Activity,11681990481
"Jun 18, 2024, 8:55:12 PM",Kudos,Activity,11682428842
"Jun 19, 2024, 12:12:53 PM",Kudos,Activity,11687653652
"Jun 19, 2024, 8:38:22 PM",Kudos,Activity,11692001105
"Jun 19, 2024, 8:44:58 PM",Kudos,Activity,11691304118
"Jun 19, 2024, 8:45:02 PM",Kudos,Activity,11690237148
"Jun 21, 2024, 6:53:08 PM",Kudos,Activity,11706018967
"Jun 21, 2024, 6:53:25 PM",Kudos,Activity,11699696332
"Jun 23, 2024, 9:02:11 PM",Kudos,Activity,11721672056
"Jun 24, 2024, 9:53:44 PM",Kudos,Activity,11729731034
"Jun 24, 2024, 9:53:48 PM",Kudos,Activity,11728842247
"Jun 25, 2024, 11:58:43 AM",Kudos,Activity,11734155905
"Jun 25, 2024, 3:25:59 PM",Kudos,Activity,11736380083
